assessment_1,assessment_2,assessment_3,assessment_4,assessment_5,assessment_6,final_exam
91.9,70.2,53.5,82.6,75.4,92.7,79.2
70.3,81.4,83.2,78.6,83.9,68.9,68.7
75.3,81.5,56.1,67.3,61.7,85.3,62.2
79.1,65,57.2,82.1,80.3,79.8,63
67.1,82.4,68,87.5,77.4,76,83.2
75,72.9,80.7,78.8,59.8,85.5,68.4
75,90.8,75.3,79.4,89.4,72.9,89.1
57.5,79.4,80.9,91.1,69,84.1,91.8
85.2,93.5,67.1,70,82.8,91.2,76.4
81,73.9,70.1,68,71.8,83.2,93.9
68.7,75.4,59.5,74.8,85.9,75.9,81
73.3,80.7,68.5,70.4,89.1,69.5,89.1
80.1,87.5,78.5,90.8,67.7,73,77
72.4,83.1,68.7,82.5,60.7,69.1,87.6
72.6,66.9,77.2,73.1,74.7,93.2,70.5
60.5,79.6,65.7,75.1,84.5,80.3,84.6
80.5,78.2,65.5,100,72.3,74.7,74.9
76.2,74.1,72.4,75.1,69.9,72.9,77.8
77.7,72.2,69.9,73.9,80.9,74.5,84.7
59.7,93.7,78.5,82.4,48.4,79.6,80.6
91.5,74.5,74,85.1,69.4,73,78.3
76.5,70.4,91.1,81.8,62.2,93.7,85.6
71.1,83.7,69.6,72.7,78.9,76.8,86.2
95.3,79.2,69.5,70.7,68.6,76.5,66.5
74.5,77.3,60.6,84.8,64.8,84.2,84
60.5,85,72.3,79.6,72.5,92.2,85
70.9,82.4,79.5,66.9,61.3,91.3,72.2
52.1,81.3,63.9,89.4,75.9,78.6,82.5
85.5,86.7,71.5,86.2,69.2,83.8,67.1
70.8,80.6,79.9,78.1,72.2,83,92
67.6,72.4,70.6,77.9,68.8,85.7,76.9
85.7,74.7,66.3,81.9,85.1,83.8,78.3
58.5,73.3,82.7,74.5,74.9,75.4,89.8
80.4,79.9,73.1,69.2,81.2,73.2,77.7
54.4,68.3,76.4,82.6,80.8,83.2,84.4
68.4,61.5,84.9,68.5,67.9,73.7,69.6
63,78.8,84.6,83.1,81.7,91.5,73.9
89.6,66,68.2,68.5,79.5,82.3,66.5
92.7,60.4,66.2,79.2,79.1,74.8,77.1
71.7,81.4,75.1,78.9,72,79.7,88.3
83.4,71.6,70.5,94.3,71.7,78.4,81
73.2,82.5,51.1,71.5,83.9,81.1,87
80.7,73.2,86,68.7,97.8,88.6,69.8
67.5,67.9,72.2,74.8,67.7,71.9,71.1
57.9,66.8,80.1,71,81.3,68.9,74.8
57,73.4,59.1,75.3,72.3,84.4,84.2
78.8,75.5,86.2,83.4,83.8,80.8,82.2
97.5,70.6,65.5,86.2,80.4,83.1,78.9
77.7,75.5,70.8,93.3,86.6,85.1,84.6
69.8,64.2,56.6,74.1,48.1,80.7,77.6
94.1,78.1,70.2,100,70,87.6,78.8
77.4,61.9,69.5,95.9,66.1,75.7,90.7
76,76.3,70,78.4,74.9,82.5,73.7
77.5,84.3,76.8,61.7,68.8,76.2,80.6
73.7,87.8,72.7,79.3,69.6,74.1,93.5
71.9,93.4,82.7,80.6,82.8,86.3,79.9
60.7,64,66.9,61.6,95,86,85.4
80,84.8,61,80.6,47.8,68.4,73.5
74.1,88.9,71.8,78.4,72.9,74.1,96.6
86.9,86.8,78.9,73.7,79.1,84,58.8
71.3,69.6,85.7,85,76,89.5,68.8
55.9,81.7,81,88,72.5,77.3,69.5
74,94.7,52.6,76.1,62.5,80.7,93.6
92,64.5,76.1,81.8,66.6,72.1,82.2
71.2,82.3,88.1,74.8,83.2,99.6,76.6
66.1,88,72.7,73.7,86.8,85.3,67.5
63.1,71.7,66.3,80.6,77,88.3,82.3
64.5,83.2,75.4,84.2,67.6,86.6,80
72,68.4,66.5,75.5,77,88.5,72.8
63.2,70.7,79,62.3,73.6,86.3,65.6
90,70.6,71.9,84.7,81.5,79.7,69.1
72.2,79.7,87.3,67.2,77.2,87.2,80.9
76.1,77.2,77.5,81,69.8,82.6,81.8
89.4,86.6,64,94.2,77.9,91.1,79.7
90,69.5,78.7,79.9,64.2,76.9,77.6
72.9,76.8,82.3,70.5,84.2,78.2,63.1
78.3,86.6,65.7,68.3,87.8,86.6,79.4
82.4,83,67.3,89.4,64.2,91,69.7
73.1,66.1,46.6,79.9,80.2,83,79.4
57.2,84,81.9,84.3,66.1,77,83.2
81.5,73.7,65.5,87.4,86.7,81.2,72.9
83.9,81.5,48.7,79.6,85,78.5,69.8
79.2,80.7,52.5,77.5,73.7,95.3,87.9
65.8,89,69.5,72.4,85.9,88.3,82.2
73,79,80.4,55.3,71.7,90.9,73.3
69.1,61.3,71,67.9,69.6,84.1,52
72,65.7,77.2,79.4,70.3,78.1,78.6
88,84.6,59.9,78.6,74.6,90.2,84.7
90.3,75.7,57.2,83.2,72.8,93.6,89.1
81.7,88.2,81.7,79,77.5,86.1,72.9
80.5,80.5,77.4,81.3,69.8,81.8,73.2
81.8,71.3,71.7,86.3,83.6,89.6,75
74.9,87.7,86.1,72.9,86.2,79.4,86.5
74.2,70.7,61.5,77.7,71,87.4,68.4
68.3,59.5,67.4,67.1,61.7,77,78
74.4,96.6,83.3,87.8,83.2,75.2,70.7
97.6,60.8,92.2,80.3,87.4,86,81.4
83.7,83.7,72.1,83.9,74.4,84.4,65
71.6,86.4,90.5,92.3,63.1,95.3,82.4
70.3,79.3,65.4,88.6,78.7,80,74.5
