assessment_1,assessment_3,assessment_5,final_exam
91.9,53.5,75.4,79.2
70.3,83.2,83.9,68.7
75.3,56.1,61.7,62.2
79.1,57.2,80.3,63
67.1,68,77.4,83.2
75,80.7,59.8,68.4
75,75.3,89.4,89.1
57.5,80.9,69,91.8
85.2,67.1,82.8,76.4
81,70.1,71.8,93.9
68.7,59.5,85.9,81
73.3,68.5,89.1,89.1
80.1,78.5,67.7,77
72.4,68.7,60.7,87.6
72.6,77.2,74.7,70.5
60.5,65.7,84.5,84.6
80.5,65.5,72.3,74.9
76.2,72.4,69.9,77.8
77.7,69.9,80.9,84.7
59.7,78.5,48.4,80.6
91.5,74,69.4,78.3
76.5,91.1,62.2,85.6
71.1,69.6,78.9,86.2
95.3,69.5,68.6,66.5
74.5,60.6,64.8,84
60.5,72.3,72.5,85
70.9,79.5,61.3,72.2
52.1,63.9,75.9,82.5
85.5,71.5,69.2,67.1
70.8,79.9,72.2,92
67.6,70.6,68.8,76.9
85.7,66.3,85.1,78.3
58.5,82.7,74.9,89.8
80.4,73.1,81.2,77.7
54.4,76.4,80.8,84.4
68.4,84.9,67.9,69.6
63,84.6,81.7,73.9
89.6,68.2,79.5,66.5
92.7,66.2,79.1,77.1
71.7,75.1,72,88.3
83.4,70.5,71.7,81
73.2,51.1,83.9,87
80.7,86,97.8,69.8
67.5,72.2,67.7,71.1
57.9,80.1,81.3,74.8
57,59.1,72.3,84.2
78.8,86.2,83.8,82.2
97.5,65.5,80.4,78.9
77.7,70.8,86.6,84.6
69.8,56.6,48.1,77.6
94.1,70.2,70,78.8
77.4,69.5,66.1,90.7
76,70,74.9,73.7
77.5,76.8,68.8,80.6
73.7,72.7,69.6,93.5
71.9,82.7,82.8,79.9
60.7,66.9,95,85.4
80,61,47.8,73.5
74.1,71.8,72.9,96.6
86.9,78.9,79.1,58.8
71.3,85.7,76,68.8
55.9,81,72.5,69.5
74,52.6,62.5,93.6
92,76.1,66.6,82.2
71.2,88.1,83.2,76.6
66.1,72.7,86.8,67.5
63.1,66.3,77,82.3
64.5,75.4,67.6,80
72,66.5,77,72.8
63.2,79,73.6,65.6
90,71.9,81.5,69.1
72.2,87.3,77.2,80.9
76.1,77.5,69.8,81.8
89.4,64,77.9,79.7
90,78.7,64.2,77.6
72.9,82.3,84.2,63.1
78.3,65.7,87.8,79.4
82.4,67.3,64.2,69.7
73.1,46.6,80.2,79.4
57.2,81.9,66.1,83.2
81.5,65.5,86.7,72.9
83.9,48.7,85,69.8
79.2,52.5,73.7,87.9
65.8,69.5,85.9,82.2
73,80.4,71.7,73.3
69.1,71,69.6,52
72,77.2,70.3,78.6
88,59.9,74.6,84.7
90.3,57.2,72.8,89.1
81.7,81.7,77.5,72.9
80.5,77.4,69.8,73.2
81.8,71.7,83.6,75
74.9,86.1,86.2,86.5
74.2,61.5,71,68.4
68.3,67.4,61.7,78
74.4,83.3,83.2,70.7
97.6,92.2,87.4,81.4
83.7,72.1,74.4,65
71.6,90.5,63.1,82.4
70.3,65.4,78.7,74.5
