assessment_6,final_exam
92.7,79.2
68.9,68.7
85.3,62.2
79.8,63
76,83.2
85.5,68.4
72.9,89.1
84.1,91.8
91.2,76.4
83.2,93.9
75.9,81
69.5,89.1
73,77
69.1,87.6
93.2,70.5
80.3,84.6
74.7,74.9
72.9,77.8
74.5,84.7
79.6,80.6
73,78.3
93.7,85.6
76.8,86.2
76.5,66.5
84.2,84
92.2,85
91.3,72.2
78.6,82.5
83.8,67.1
83,92
85.7,76.9
83.8,78.3
75.4,89.8
73.2,77.7
83.2,84.4
73.7,69.6
91.5,73.9
82.3,66.5
74.8,77.1
79.7,88.3
78.4,81
81.1,87
88.6,69.8
71.9,71.1
68.9,74.8
84.4,84.2
80.8,82.2
83.1,78.9
85.1,84.6
80.7,77.6
87.6,78.8
75.7,90.7
82.5,73.7
76.2,80.6
74.1,93.5
86.3,79.9
86,85.4
68.4,73.5
74.1,96.6
84,58.8
89.5,68.8
77.3,69.5
80.7,93.6
72.1,82.2
99.6,76.6
85.3,67.5
88.3,82.3
86.6,80
88.5,72.8
86.3,65.6
79.7,69.1
87.2,80.9
82.6,81.8
91.1,79.7
76.9,77.6
78.2,63.1
86.6,79.4
91,69.7
83,79.4
77,83.2
81.2,72.9
78.5,69.8
95.3,87.9
88.3,82.2
90.9,73.3
84.1,52
78.1,78.6
90.2,84.7
93.6,89.1
86.1,72.9
81.8,73.2
89.6,75
79.4,86.5
87.4,68.4
77,78
75.2,70.7
86,81.4
84.4,65
95.3,82.4
80,74.5
