practicum1,practicum2,practicum3,practicum4,practicum5,practicum6,practicum7,practicum8
77.9,78.1,80.8,90,68,78.9,78.1,56
92.6,91.8,91.4,100,82,91.5,91.8,59
82.9,78.1,77.9,100,76,83,78.1,53
88.1,83.6,82.7,90,88,86.5,88,78
89.1,71.2,78.9,100,40,75.8,78.9,45
90.7,83.6,79.8,100,92,89.2,90.7,64
96.5,93.2,93.3,100,96,95.8,96,83
96.4,95.9,90.4,100,98,96.1,96.4,79
80,74,82.7,100,86,84.5,82.7,56
88.9,58.9,77.9,90,44,71.9,77.9,41
83.9,71.2,76,90,48,73.8,76,43
76.8,72.6,76.9,100,40,73.3,76.8,53
96.5,91.8,92.3,100,82,92.5,92.3,66
81,67.1,74,100,78,80,78,60
92.9,89,93.3,100,90,93,92.9,80
90.9,83.6,83.7,100,82,88,83.7,73
79.5,65.8,73.6,90,56,73,73.6,55
84.1,74,85.6,100,82,85.1,84.1,60
84,82.2,88.5,100,82,87.3,84,75
86.4,80.8,76,90,80,82.6,80.8,54
72.4,78.1,76.9,100,72,79.9,76.9,41
90.9,89,84.6,100,90,90.9,90,78
89,78.1,79.8,100,92,87.8,89,45
83.3,69.9,71.2,90,66,76.1,71.2,66
83.3,68.5,76.9,100,74,80.5,76.9,62
87.3,84.9,83.7,100,56,82.4,84.9,61
76.8,76.7,82.7,100,80,83.2,80,55
91.6,87.7,85.6,100,92,91.4,91.6,70
81.4,75.3,82.7,100,80,83.9,81.4,68
84.6,76.7,75,100,66,80.5,76.7,55
92.7,94.5,99,100,90,95.2,94.5,87
85.1,74,77.9,90,60,77.4,77.9,54
95.5,82.2,82.7,85,90,87.1,85,69
92.7,80.8,76.9,100,76,85.3,80.8,61
94.7,89,85.6,100,92,92.3,92,62
85.2,82.2,85.6,100,80,86.6,85.2,61
90.7,74,75,90,90,83.9,90,63
85.6,82.2,80.8,100,90,87.7,85.6,52
85.8,87.7,78.9,100,72,84.9,85.8,66
88.9,75.3,84.6,100,76,85,84.6,51
83.3,63,74,100,82,80.5,82,68
97.6,74,82.7,100,98,90.5,97.6,44
79.1,74,81.7,95,80,82,80,65
87.7,87.7,78.9,100,90,88.8,87.7,69
84.8,79.5,89.4,100,74,85.5,84.8,81
91.2,80.8,74,100,76,84.4,80.8,64
98.2,94.5,92.3,100,90,95,94.5,84
87,68.5,76,100,64,79.1,76,59
90.7,71.2,76.9,90,50,75.8,76.9,53
88.1,80.8,84.6,100,64,83.5,84.6,65
